CustomerId,prediction
3671,0.0
3672,1.0
3678,0.0
3683,0.0
3686,0.0
3688,1.0
3689,0.0
3697,1.0
3702,1.0
3703,0.0
3705,0.0
3723,0.0
3726,0.0
3728,0.0
3730,0.0
3734,0.0
3738,1.0
3740,1.0
3747,1.0
3764,0.0
3769,0.0
3771,0.0
3773,1.0
3775,0.0
3777,0.0
3778,0.0
3783,0.0
3787,0.0
3788,1.0
3798,1.0
3799,0.0
3809,0.0
3813,0.0
3824,0.0
3832,1.0
3833,0.0
3840,0.0
3842,0.0
3844,1.0
3848,1.0
3850,0.0
3862,0.0
3864,1.0
3867,1.0
3874,0.0
3875,1.0
3882,1.0
3887,1.0
3891,1.0
3904,1.0
3911,0.0
3913,1.0
3916,1.0
3927,0.0
3930,0.0
3931,0.0
3938,0.0
3945,0.0
3948,1.0
3949,1.0
3953,0.0
3961,0.0
3963,1.0
3979,1.0
3981,1.0
3982,0.0
3983,0.0
3986,0.0
3991,1.0
3992,0.0
3993,1.0
3994,0.0
4013,0.0
4015,0.0
4016,0.0
4018,0.0
4020,1.0
4025,1.0
4026,1.0
4029,0.0
4031,0.0
4046,0.0
4048,1.0
4050,0.0
4052,1.0
4054,1.0
4056,0.0
4064,1.0
4077,0.0
4079,1.0
4081,0.0
4085,0.0
4110,0.0
4121,0.0
4122,0.0
4127,0.0
4129,1.0
4137,0.0
4142,1.0
4153,1.0
4157,0.0
4159,0.0
4160,1.0
4161,0.0
4165,1.0
4166,1.0
4168,0.0
4180,0.0
4197,0.0
4199,1.0
4211,0.0
4215,1.0
4218,0.0
4221,0.0
4232,1.0
4236,1.0
4237,1.0
4238,1.0
4242,1.0
4247,0.0
4256,1.0
4257,1.0
4260,0.0
4265,1.0
4271,0.0
4277,1.0
4278,0.0
4281,0.0
4285,1.0
4287,0.0
4294,0.0
4306,1.0
4311,0.0
4313,1.0
4315,1.0
4319,1.0
4324,0.0
4326,1.0
4329,1.0
4333,0.0
4354,0.0
4357,1.0
4359,1.0
4361,1.0
4365,1.0
4366,0.0
4373,1.0
4378,0.0
4383,1.0
4385,1.0
4386,1.0
4391,0.0
4398,0.0
4400,0.0
4410,0.0
4416,0.0
4418,1.0
4420,1.0
4421,0.0
4424,1.0
4428,0.0
4440,0.0
4441,1.0
4442,0.0
4447,0.0
4448,0.0
4458,1.0
4461,1.0
4463,0.0
4467,1.0
4472,0.0
4477,0.0
4480,1.0
4489,1.0
4491,0.0
4492,0.0
4494,1.0
4498,0.0
4499,1.0
4504,0.0
4507,0.0
4509,1.0
4510,0.0
4511,1.0
4514,0.0
4523,0.0
4524,0.0
4535,0.0
4537,1.0
4540,1.0
4541,1.0
4548,1.0
4554,1.0
4559,0.0
4566,1.0
4570,0.0
4574,1.0
